,Глубина_манометра_м_2,Dшт_мм_3,Рзаб_бара_5,Pлин_бара_6,Рлин_бар_9,Туст__С_10,Тна_шлейфе__С_11,Тзаб__С_12,Tлин__С_13,Дебит_воды_м3/сут_16,Дебит_гааз_м3/сут_18,Дебит_кон_нестабильный_м3/сут_19,Нэф_м_21,Рпл_Тек_(послед_точка_на_КВД)_МПа_22,Рпл_Тек_(Расчет_по_КВД)_МПа_23,Рпл_Тек_(Карноухов)_МПа_24,Pсб__атм_25,Ro_c_кг/м3_28,Удельная_плотность_газа__б/р_30,G_total_кг/с_31,КГФ_г/м3_32
29,3650.0,12.7,437.30000000000007,103.10805220883537,105.97709677419346,74.0,103.6,105.47,51.37921987951809,4.556070682730927,5599.8,354.6,63.6,47.33,55.4,55.2,93.8,795.0,0.682179796411318,8.400533646134148,280.5615294373049
30,3650.0,14.29,426.2,107.0626261467888,106.77129032258067,75.0,106.8,105.42,52.76279816513765,6.246333830275232,6020.6,421.6,63.6,47.33,55.4,55.2,92.3,795.0,0.682179796411318,9.636916858651475,292.2406966150632
31,3650.0,15.87,414.0,109.78447484554317,109.39032258064499,75.0,110.2,105.36,55.513903795233944,8.340288261253283,6943.1,469.6,63.6,47.33,55.4,55.2,87.7,795.0,0.682179796411318,10.931155145659286,284.08411224113485
32,3650.0,14.29,414.80000000000007,108.6331631722871,108.63999999999977,74.0,,105.35,53.125238833181484,6.011751595259804,5914.3,401.1,63.6,47.33,55.4,55.2,96.3,795.0,0.682179796411318,9.327572099379012,289.18350400329433
33,3650.0,11.11,424.5,100.12634143706153,102.25428571428557,70.0,,105.37,44.88405024311182,3.2895430037817346,4204.5,274.0,63.6,47.33,55.4,55.2,88.2,795.0,0.682179796411318,6.41826341342675,287.5175146302226
34,3653.0,9.53,403.4,111.38188006482996,111.61290322580646,64.0,32.0,104.42,42.44033954619124,1.4693333063209097,2724.6,184.3,63.6,43.4,54.9,52.7,88.8,788.9,0.684,4.587644763698678,254.839032065248
35,3653.0,11.11,399.20000000000005,121.68292972057577,123.61679999999998,68.0,36.0,104.42,49.17873581710411,2.270067061812026,3324.9,229.5,63.6,43.4,54.9,52.7,87.4,788.9,0.684,5.833181955417568,243.234996427721
36,,14.29,,107.55553088133304,106.77,69.0,,,52.22178972935467,1.0,5020.0,254.0,63.6,,,,90.8,788.4,0.684659745226576,7.275189067726362,219.042278656448
37,3572.0,6.35,341.5,106.0,114.7,25.0,,104.9,26.5,0.0,1768.6,98.2,30.0,38.59,51.3,51.7,94.8,780.0,0.662,,270.0
38,3572.0,9.53,330.0,105.9,103.8,31.0,,104.7,38.5,0.0,2315.9,122.1,30.0,38.59,51.3,51.7,94.8,780.0,0.662,,251.0
39,3572.0,11.11,316.0,108.9,108.7,37.0,,104.6,45.0,1.1,2998.1,143.5,30.0,38.59,51.3,51.7,103.6,780.0,0.662,,236.0
