,Глубина_манометра_м_2,Dшт_мм_3,Рзаб_бара_5,Pлин_бара_6,Рлин_бар_9,Туст__С_10,Тна_шлейфе__С_11,Тзаб__С_12,Tлин__С_13,Дебит_воды_м3/сут_16,Дебит_гааз_м3/сут_18,Дебит_кон_нестабильный_м3/сут_19,Нэф_м_21,Рпл_Тек_(послед_точка_на_КВД)_МПа_22,Рпл_Тек_(Расчет_по_КВД)_МПа_23,Рпл_Тек_(Карноухов)_МПа_24,Pсб__атм_25,Ro_c_кг/м3_28,Удельная_плотность_газа__б/р_30,G_total_кг/с_31,КГФ_г/м3_32
146,3437.0,14.29,216.9,101.4,100.2,57.0,49.3,106.43,49.7,0.8,3320.0,116.8,44.2,36.46,47.9,48.6,100.7,782.0,0.684,,154.0
147,3440.0,7.94,174.0,92.0526897987506,90.945,44.0,25.6,102.55,25.94277793199168,0.23924449687716876,1187.0,60.9,44.2,29.17,56.1,,90.0,770.1,0.57,,180.0
148,3440.0,7.94,228.46,92.58793483709262,92.642,42.0,24.8,102.507,25.80761152882207,0.23698969924812027,1168.0,60.1,44.2,29.17,56.1,,90.4,770.1,0.57,,178.0
149,3440.0,7.94,228.1,92.6323398762964,94.154,43.0,26.6,102.068,26.23892374702136,0.23765479833101524,1172.0,59.8,44.2,29.17,56.1,,90.7,770.1,0.57,,180.0
150,3277.8,6.35,382.5,101.9,104.1,26.5,,106.2,25.9,0.8,1891.0,116.8,44.5,40.35,53.9,52.7,101.5,781.0,0.672,,224.0
151,3277.8,9.53,373.7,103.8,103.5,39.0,,106.4,40.1,3.2,1192.0,82.6,44.5,40.35,53.9,52.7,101.5,186.0,0.672,,199.0
152,3277.8,11.11,365.7,103.6,102.9,45.3,,106.47,46.1,0.6,2740.0,152.8,44.5,40.35,53.9,52.7,103.2,790.0,0.672,,201.0
153,3277.8,12.7,354.5,104.1,103.8,50.3,,106.4,50.5,1.6,3730.0,196.5,44.5,40.35,53.9,52.7,102.7,787.0,0.672,,191.0
154,3277.8,14.3,345.9,105.8,104.0,53.5,,106.7,54.0,1.8,4726.0,232.4,44.5,40.35,53.9,52.7,103.1,787.0,0.672,,192.0
155,3276.0,7.5,370.0389,95.0,95.4,56.0,28.6,104.98,30.4,1.2,1967.0,114.7,44.5,39.44,48.3,45.6,94.3,785.0,0.667,,222.0
156,3276.0,9.53,364.6788075,94.9,94.9,62.0,36.3,105.18,37.5,1.4,2970.0,154.5,44.5,39.44,48.3,45.6,93.5,785.0,0.667,,212.0
157,3276.0,11.11,357.1199625,97.0,96.9,66.0,42.8,105.24,43.7,1.4,3869.0,196.7,44.5,39.44,48.3,45.6,95.3,785.0,0.667,,204.0
158,3276.0,12.7,347.44342499999993,95.7,95.8,70.0,47.5,105.23,47.9,2.1,5012.0,235.7,44.5,39.44,48.3,45.6,94.2,785.0,0.667,,198.0
159,3276.0,14.3,337.87834499999997,99.8,99.3,70.0,51.8,105.16,52.1,2.3,5733.0,264.3,44.5,39.44,48.3,45.6,98.5,785.0,0.667,,186.0
160,3284.0,7.94,335.20000000000005,88.7,89.0,51.0,27.0,104.68,27.2,1.1,1773.0,93.1,44.5,35.28,40.5,41.6,89.7,782.0,0.66,,201.0
161,3284.0,9.53,328.1,91.2,91.4,59.1,34.9,104.84,35.7,1.9,2750.0,119.2,44.5,35.28,40.5,41.6,88.9,782.0,0.66,,182.0
162,3284.0,11.11,318.0,98.0,98.9,63.3,41.4,104.85,42.5,3.5,3583.0,143.9,44.5,35.28,40.5,41.6,91.0,782.0,0.66,,165.0
163,3284.0,12.7,307.8,98.6,97.2,65.0,45.8,104.78,46.3,4.7,4165.0,156.8,44.5,35.28,40.5,41.6,94.4,782.0,0.66,,153.0
164,3284.0,14.29,293.6,98.5,98.4,66.9,49.8,104.63,50.5,6.4,5113.0,174.3,44.5,35.28,40.5,41.6,94.0,782.0,0.66,,147.0
165,3288.6,7.94,309.1,92.6,92.7,51.0,,104.4,28.1,0.44891701610110907,1759.0,84.7,48.3747,33.21,,,89.9,779.6,0.668,,182.0
166,3288.6,11.11,293.9,93.1,93.3,60.0,,104.6,41.3,1.5,3454.0,123.0,48.3747,33.21,,,90.8,779.6,0.668,,145.0
167,3289.8,9.53,271.0,95.94595105865976,94.637,56.0,,103.9,36.16154737938216,1.0,2223.0,80.0,48.4,,39.9,,94.0,772.6,0.671,,139.0
168,3672.3,6.35,375.048408,106.17516930701034,105.48754,25.0,,106.6,24.15616203867847,0.8748941821112014,1047.0,75.0,43.0,43.98,58.8,65.9,106.0,,,,
169,3672.3,9.53,356.765325,106.42150231417631,104.83707,47.0,,106.8,36.77411065134103,5.0742453333333355,2422.0,156.6,43.0,43.98,58.8,65.9,105.8,,,,
170,3672.3,11.11,340.8573,106.53457169044204,106.30395,47.0,,106.7,42.8143000142654,1.6885314693295304,3175.0,194.0,43.0,43.98,58.8,65.9,105.8,,,,
171,3672.3,12.7,323.6746065,106.10082069872298,105.7409,47.0,,106.5,47.76626674680694,1.5186961983471081,3955.0,231.8,43.0,43.98,58.8,65.9,105.4,,,,
172,3672.3,14.29,306.710775,106.11478101418439,106.63985,47.0,,106.3,51.14760070921981,1.4199205106382973,4511.0,256.8,43.0,43.98,58.8,65.9,106.6,,,,
173,3679.5,7.94,335.97,89.81832063390507,87.58879,48.2,22.0,106.73,21.98896623095826,0.500798034398034,1599.0,99.5,43.0,38.74,48.0,61.8,86.5,,,,
174,3679.5,9.53,325.47,89.44326030021458,89.37193,54.7,29.5,106.7,29.489079671193707,1.5541646890636152,2382.0,128.0,43.0,38.74,48.0,61.8,88.0,,,,
175,3679.5,11.11,311.69,91.73778479883114,91.68636,60.6,36.8,106.59,36.95314233357711,2.9050263643013885,3100.0,158.9,43.0,38.74,48.0,61.8,89.7,,,,
176,3679.5,14.29,288.76,96.31888419605232,100.59241,64.0,46.0,106.27,46.00891623413251,5.14166657263752,4343.0,210.4,43.0,38.74,48.0,61.8,92.7,,,,
177,3678.0,7.94,319.639,87.46398928231895,86.870461,50.3,22.9,105.38,23.289476115019067,1.3,1852.0,91.3,46.7435,36.96,60.9,60.8,83.7,,,,
178,3678.0,9.53,310.281,89.16134300783284,90.022499,48.6,30.8,105.36,30.779152722499195,1.2,2647.0,111.9,46.7435,36.96,60.9,60.8,85.5,,,,
179,3678.0,11.11,291.377,92.07288248653074,91.773788,52.4,37.8,105.16,37.69498104426164,1.5,3324.0,125.0,46.7435,36.96,60.9,60.8,88.6,,,,
180,3678.0,12.7,271.586,93.25511106004254,92.702141,55.6,41.8,104.91,41.83273067661524,1.5,3728.0,128.3,46.7435,36.96,60.9,60.8,89.7,,,,
181,3678.0,14.29,249.076,96.47214291808145,100.060417,56.7,47.6,104.5,47.71535749833721,1.7,4302.0,135.9,46.7435,36.96,60.9,60.8,87.3,,,,
182,3679.5,7.94,289.3877,91.13122614234176,91.304642,47.0,24.4,104.903,24.84165043077352,1.118,1550.0,92.4,46.7435,38.65317,64.1,61.3,88.2,,,,
183,3679.5,9.53,282.8709,91.17300798070237,91.616821,48.9,26.7,104.882,31.580439797721507,4.748,2265.0,108.9,46.7435,38.65317,64.1,61.3,88.5,,,,
184,3679.5,11.11,267.4787,91.53026166328058,89.507935,53.5,33.3,104.689,37.478663672060556,6.278,2918.0,122.7,46.7435,38.65317,64.1,61.3,89.8,,,,
