,Глубина_манометра_м_2,Dшт_мм_3,Рзаб_бара_5,Pлин_бара_6,Руст_бар_7,Рлин_бар_9,Туст__С_10,Тна_шлейфе__С_11,Тзаб__С_12,Tлин__С_13,Дебит_гааз_м3/сут_18,Дебит_кон_нестабильный_м3/сут_19,Дебит_воды_м3/сут_20,Нэф_м_21,Рпл_Тек_(послед_точка_на_КВД)_МПа_22,Рпл_Тек_(Расчет_по_КВД)_МПа_23,Рпл_Тек_(Карноухов)_МПа_24,Pсб__атм_25,Ro_c_кг/м3_28,Удельная_плотность_газа__б/р_30,G_total_кг/с_31,КГФ_г/м3_32
87,3667.0,12.7,348.1,100.10129617834409,239.0,45.06035483870962,64.0,43.7,105.51,44.07239171974519,4529.6,176.6,5.3,63.3,39.02,48.3,50.9,95.2,787.0,0.665,,165.0
88,3667.0,14.29,340.0,102.22606557377014,221.0,47.84654838709679,66.0,47.8,105.44,48.17109016393446,5557.8,206.0,6.6,63.3,39.02,48.3,50.9,96.0,787.0,0.665,,162.0
92,3670.0,12.7,336.3,102.40378048912564,228.0,102.293098,65.1,44.8,105.04,44.739639307486506,4152.0,195.9,6.7,63.3,37.19,48.0,50.2,95.8,778.8,0.674,,140.0
94,3668.5,9.53,340.0,94.02052714708701,248.0,94.19509677419349,59.0,32.4,104.853,33.5142857847976,2868.6,105.2,1.4,72.5398,36.75,48.4,49.7,88.8,782.53,0.66,,154.0
95,3668.5,11.11,334.0,95.50515307582188,239.0,95.88422580645144,61.0,38.6,104.834,39.28579113018597,3773.0,122.8,2.0,72.5398,36.75,48.4,49.7,88.1,782.53,0.66,,141.0
96,3668.5,12.7,326.0,94.89208995037264,223.0,95.52348387096755,64.0,42.7,104.74,42.913789702233274,4590.3,142.1,2.7,72.5398,36.75,48.4,49.7,88.8,782.53,0.66,,139.0
97,3668.5,14.29,318.0,97.27056371490129,205.0,95.52348387096755,66.0,46.9,104.643,46.71543250539952,5452.4,161.1,3.3,72.5398,36.75,48.4,49.7,88.9,782.53,0.66,,132.0
136,3424.5,6.35,316.1,101.81950427350398,219.87525,101.92225806451619,24.2,,106.2,23.662576068376058,884.0,68.9,0.5,44.2,37.21,50.2,50.7,101.8,780.0,0.648,,241.0
137,3424.5,9.53,281.5,103.86519924098695,201.63675,103.97161290322573,35.5,,106.4,36.558231499051224,1867.0,120.4,1.4,44.2,37.21,50.2,50.7,103.6,780.0,0.648,,216.0
138,3424.5,11.11,257.9,103.06488372093023,182.385,103.45129032258062,42.3,,106.47,42.63247780126855,2445.0,123.9,2.3,44.2,37.21,50.2,50.7,102.6,792.0,0.648,,191.0
